amr_id,task_id,sequence_order,segment_type,path_uid,sample_index,absolute_time,offset_time,x,y,theta,speed,footprint_radius
AMR4,T04,1,wait_at_pickup,stationary::P8,19,4.0,1.857,8.85,2.35,-1.570796,0.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,16,4.04,1.6,2.95,0.95,2.356194,0.0,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,5,4.089,0.5,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,41,4.1,4.1,3.4470000000000005,3.1,0.0,1.0,0.25
AMR4,T04,1,service_at_pickup,stationary::P8,1,4.1,0.1,8.85,2.35,-1.570796,0.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,17,4.14,1.7,2.95,0.95,2.356194,0.0,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,6,4.189,0.6,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,42,4.2,4.2,3.547,3.1,0.0,1.0,0.25
AMR4,T04,1,service_at_pickup,stationary::P8,2,4.2,0.2,8.85,2.35,-1.570796,0.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,18,4.24,1.8,2.95,0.95,2.356194,0.0,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,7,4.289,0.7,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,43,4.3,4.3,3.647,3.1,0.0,1.0,0.25
AMR4,T04,1,service_at_pickup,stationary::P8,3,4.3,0.3,8.85,2.35,-1.570796,0.0,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,19,4.34,1.9,2.95,0.95,2.356194,0.0,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,8,4.389,0.8,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,44,4.4,4.4,3.747,3.1,0.0,1.0,0.25
AMR4,T04,1,service_at_pickup,stationary::P8,4,4.4,0.4,8.85,2.35,-1.570796,0.0,0.25
AMR3,T01,1,loaded,vg::P1__SORT1__path_1,0,4.44,0.0,2.98,0.95,-1.454655,0.8099999792914542,0.25
AMR3,T01,1,service_at_pickup,stationary::P1,20,4.44,2.0,2.95,0.95,2.356194,0.0,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,9,4.489,0.9,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,45,4.5,4.5,3.847,3.1,0.0,1.0,0.25
AMR4,T04,1,service_at_pickup,stationary::P8,5,4.5,0.5,8.85,2.35,-1.570796,0.0,0.25
AMR3,T01,1,loaded,vg::P1__SORT1__path_1,1,4.54,0.1,2.9893959997597808,0.8694860020584294,-1.454655,0.8099999792914542,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,10,4.589,1.0,3.55,5.25,-2.356194,0.0,0.25
AMR1,T06,1,transition,vg::IN1__P2__path_1,46,4.6,4.6,3.947000000000001,3.1,0.0,1.0,0.25
AMR4,T04,1,service_at_pickup,stationary::P8,6,4.6,0.6,8.85,2.35,-1.570796,0.0,0.25
AMR3,T01,1,loaded,vg::P1__SORT1__path_1,2,4.64,0.2,2.998791999519561,0.7889720041168589,-1.454655,0.8099999792914542,0.25
AMR2,T02,1,service_at_pickup,stationary::P3,11,4.689,1.1,3.55,5.25,-2.356194,0.0,0.25
