path_uid,from_node,to_node,path_id,rank_by_total,algorithm,node_sequence,edge_sequence,edge_occupancy_offset,node_occupancy_offset,distance,travel_time,turn_count,turn_cost,risk_cost,narrow_count,dynamic_count,lockable_count,bottleneck_capacity,total_cost
P8__CHG1__path_4,P8,CHG1,path_4,4,dijkstra_time,P8->P5->P2->J2->J1->CHG1,e16->e11->e06->e03->e26,e16@0-2;e11@2-4;e06@4-6;e03@6-8;e26@8-10,P8@0;P5@2;P2@4;J2@6;J1@8;CHG1@10,9.4,10.0,2,1.0,10.0,2,1,1,1,26.0
P8__CHG2__path_1,P8,CHG2,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,P8->P7->CHG2,e18->e27,e18@0-2;e27@2-4,P8@0;P7@2;CHG2@4,3.4,4.0,1,0.5,2.0,0,0,0,1,6.5
P8__CHG2__path_2,P8,CHG2,path_2,2,k_shortest_total,P8->SORT1->P7->CHG2,e21->e20->e27,e21@0-3;e20@3-6;e27@6-8,P8@0;SORT1@3;P7@6;CHG2@8,5.8,8.0,2,1.0,3.0,0,0,0,1,12.0
P8__CHG2__path_3,P8,CHG2,path_3,3,k_shortest_total,P8->P5->P4->P7->CHG2,e16->e13->e15->e27,e16@0-2;e13@2-4;e15@4-6;e27@6-8,P8@0;P5@2;P4@4;P7@6;CHG2@8,7.4,8.0,3,1.5,8.0,1,1,1,1,21.5
P9__IN1__path_1,P9,IN1,path_1,1,dijkstra_total+k_shortest_total,P9->P8->P7->P4->P1->J1->IN1,e19->e18->e15->e10->e05->e01,e19@0-2;e18@2-4;e15@4-6;e10@6-8;e05@8-10;e01@10-12,P9@0;P8@2;P7@4;P4@6;P1@8;J1@10;IN1@12,12.0,12.0,1,0.5,7.0,1,0,0,1,20.5
P9__IN1__path_2,P9,IN1,path_2,2,dijkstra_time+k_shortest_total,P9->P6->P3->J3->J2->J1->IN1,e17->e12->e07->e04->e03->e01,e17@0-2;e12@2-4;e07@4-6;e04@6-8;e03@8-10;e01@10-12,P9@0;P6@2;P3@4;J3@6;J2@8;J1@10;IN1@12,12.0,12.0,2,1.0,7.0,1,0,0,1,21.0
P9__IN1__path_3,P9,IN1,path_3,3,k_shortest_total,P9->P6->P3->P2->P1->J1->IN1,e17->e12->e09->e08->e05->e01,e17@0-2;e12@2-4;e09@4-6;e08@6-8;e05@8-10;e01@10-12,P9@0;P6@2;P3@4;P2@6;P1@8;J1@10;IN1@12,12.0,12.0,2,1.0,7.0,1,0,0,1,21.0
P9__IN2__path_1,P9,IN2,path_1,1,dijkstra_time+dijkstra_total+k_shortest_total,P9->P6->P3->J3->IN2,e17->e12->e07->e02,e17@0-2;e12@2-4;e07@4-6;e02@6-8,P9@0;P6@2;P3@4;J3@6;IN2@8,8.0,8.0,0,0.0,5.0,1,0,0,1,14.0
P9__IN2__path_2,P9,IN2,path_2,2,k_shortest_total,P9->P6->P5->P2->P3->J3->IN2,e17->e14->e11->e09->e07->e02,e17@0-2;e14@2-4;e11@4-6;e09@6-8;e07@8-10;e02@10-12,P9@0;P6@2;P5@4;P2@6;P3@8;J3@10;IN2@12,12.0,12.0,4,2.0,8.0,2,0,0,1,24.0
P9__IN2__path_3,P9,IN2,path_3,3,k_shortest_total,P9->P6->P3->P2->J2->J3->IN2,e17->e12->e09->e06->e04->e02,e17@0-2;e12@2-4;e09@4-6;e06@6-8;e04@8-10;e02@10-12,P9@0;P6@2;P3@4;P2@6;J2@8;J3@10;IN2@12,12.0,12.0,4,2.0,8.0,2,0,0,1,24.0
