instance,method,p1_algorithm,task_count,amr_count,solve_time,missing_transition_count,missing_loaded_path_count,energy_violation_count,priority_late_count,late_count,priority_delay,total_delay,Cmax,empty_cost,loaded_cost,empty_distance,loaded_distance,total_energy_used,total_waiting,load_balance_penalty,F2,F3,solver_info
tasks_n6_s1,m2,mixed,6,4,9.533,0,0,0,0.0,0.0,0.0,0.0,20.266667,32.586,27.91,28.586,25.41,61.678,0.436,4.394321,101.333333,170.79321,"{'level_values': {'missing': 0, 'f1_priority_late': 0.0, 'f1_late': 0.0, 'f2': 101.333335, 'f3': 126.85}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'skipped_at_lower_bound', 'f1_late': 'skipped_at_lower_bound', 'f2': 'Optimal Solution Found', 'f3': 'Optimal Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'milp', 'solve_seconds': 9.533}"
tasks_n6_s1,m3,mixed,6,4,0.02,0,0,0,0.0,0.0,0.0,0.0,20.78963,32.368,27.91,28.368,25.41,61.46,0.436,4.433074,103.948148,170.526741,"{'solve_seconds': 0.02, 'local_search_iterations': 3}"
tasks_n6_s2,m1,mixed,6,4,0.352,0,0,0,0.0,0.0,0.0,0.0,23.26899,36.81,31.207,32.31,27.707,68.3584,0.0,5.717632,116.344949,199.154719,{'solve_seconds': 0.352}
tasks_n6_s2,m2,mixed,6,4,6.733,0,0,0,0.0,0.0,0.0,0.0,21.149798,34.918,31.207,29.918,27.707,65.9664,0.0,3.59844,105.74899,171.7868,"{'level_values': {'missing': 0, 'f1_priority_late': 0.0, 'f1_late': 0.0, 'f2': 105.74899, 'f3': 133.6054}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'skipped_at_lower_bound', 'f1_late': 'skipped_at_lower_bound', 'f2': 'Optimal Solution Found', 'f3': 'Optimal Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'warm_start_fallback', 'solve_seconds': 6.733}"
tasks_n6_s2,m3,mixed,6,4,0.016,0,0,0,0.0,0.0,0.0,0.0,21.149798,34.918,31.207,29.918,27.707,65.9664,0.0,3.59844,105.74899,171.7868,"{'solve_seconds': 0.016, 'local_search_iterations': 2}"
tasks_n12_s0,m1,mixed,12,4,3.965,0,0,0,4.0,2.0,72.812037,37.379938,52.663889,86.897,98.551,73.397,82.551,177.8582,0.674545,7.609444,3195.279321,427.746644,{'solve_seconds': 3.965}
tasks_n12_s0,m2,mixed,12,4,113.405,0,0,0,1.0,1.0,6.635556,6.635556,48.635556,73.253,157.214,62.753,84.714,169.8098,2.56,3.172444,574.955556,348.040244,"{'level_values': {'missing': 0, 'f1_priority_late': 1.0, 'f1_late': 1.0, 'f2': 574.95556, 'f3': 330.07576}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'Solution Found', 'f1_late': 'Solution Found', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'warm_start_fallback', 'solve_seconds': 113.404}"
tasks_n12_s0,m3,mixed,12,4,0.247,0,0,0,1.0,1.0,6.635556,6.635556,48.635556,73.253,157.214,62.753,84.714,169.8098,2.56,3.172444,574.955556,348.040244,"{'solve_seconds': 0.247, 'local_search_iterations': 6}"
tasks_n12_s1,m1,mixed,12,4,6.829,0,0,0,4.0,2.0,89.914384,44.957192,53.276889,80.516,81.553,70.516,71.053,161.5796,8.110303,17.760111,3862.959798,500.212711,{'solve_seconds': 6.829}
tasks_n12_s1,m2,mixed,12,4,57.026,0,0,0,0.0,0.0,0.0,0.0,41.732444,55.639,82.497,50.139,70.497,140.5354,6.435545,1.513778,208.662222,266.951178,"{'level_values': {'missing': 0, 'f1_priority_late': 0.0, 'f1_late': 0.0, 'f2': 210.04, 'f3': 252.4806}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'skipped_at_lower_bound', 'f1_late': 'skipped_at_lower_bound', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'warm_start_fallback', 'solve_seconds': 57.025}"
tasks_n12_s1,m3,mixed,12,4,0.186,0,0,0,0.0,0.0,0.0,0.0,41.732444,55.639,82.497,50.139,70.497,140.5354,6.435545,1.513778,208.662222,266.951178,"{'solve_seconds': 0.186, 'local_search_iterations': 5}"
tasks_n12_s2,m1,mixed,12,4,5.074,0,0,0,1.0,1.0,7.063951,7.063951,45.166222,63.97,81.723,56.47,70.723,147.1376,3.02,7.872889,579.028642,353.806489,{'solve_seconds': 5.074}
tasks_n12_s2,m2,mixed,12,4,56.291,0,0,0,0.0,0.0,0.0,0.0,40.950617,54.45,81.723,48.95,70.723,139.6176,4.084545,1.838617,204.753086,266.903773,"{'level_values': {'missing': 0, 'f1_priority_late': 0.0, 'f1_late': 0.0, 'f2': 204.753085, 'f3': 248.5176}, 'level_status': {'missing': 'skipped_at_lower_bound', 'f1_priority_late': 'skipped_at_lower_bound', 'f1_late': 'skipped_at_lower_bound', 'f2': 'Solution Found', 'f3': 'Solution Found'}, 'level_order': ['missing', 'f1_priority_late', 'f1_late', 'f2', 'f3'], 'solution_source': 'milp', 'solve_seconds': 56.29}"
tasks_n12_s2,m3,mixed,12,4,0.154,0,0,0,0.0,0.0,0.0,0.0,40.950617,54.45,81.723,48.95,70.723,139.6176,4.084545,1.838617,204.753086,266.903773,"{'solve_seconds': 0.154, 'local_search_iterations': 4}"
tasks_n18_s0,m1,mixed,18,4,30.039,0,0,0,6.0,4.0,131.729872,81.839862,74.795185,117.698,129.811,101.698,111.811,244.4712,0.443,11.056185,5962.669327,590.429052,{'solve_seconds': 30.039}
