sample_id,design,x_m,x_n,x_cap_cluster,m,n,cap_cluster,run_key,Cmax,total_delay,remaining_conflicts,feasible,mapping_rule
174,sobol,0.2636938309,0.5743259713,0.4422903303,4,14,2,s1_m04_n14_cap2,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
175,sobol,0.2636938309,0.2296256982,0.3173865145,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
176,sobol,0.2636938309,0.2296256982,0.4422903303,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
177,sobol,0.2479668269,0.2781752087,0.6512673041,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
178,sobol,0.7452932689,0.2781752087,0.6512673041,5,13,2,s1_m05_n13_cap2,57.193778,5.193778,9,1,round unit-hypercube coordinate to nearest configured discrete level
179,sobol,0.2479668269,0.3936352776,0.6512673041,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
180,sobol,0.2479668269,0.2781752087,0.1721293963,4,13,1,s1_m04_n13_cap1,69.222324,51.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
181,sobol,0.2479668269,0.3936352776,0.1721293963,4,13,1,s1_m04_n13_cap1,69.222324,51.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
182,sobol,0.7452932689,0.2781752087,0.1721293963,5,13,1,s1_m05_n13_cap1,57.193778,5.193778,10,1,round unit-hypercube coordinate to nearest configured discrete level
183,sobol,0.7452932689,0.3936352776,0.6512673041,5,13,2,s1_m05_n13_cap2,57.193778,5.193778,9,1,round unit-hypercube coordinate to nearest configured discrete level
184,sobol,0.7452932689,0.3936352776,0.1721293963,5,13,1,s1_m05_n13_cap1,57.193778,5.193778,10,1,round unit-hypercube coordinate to nearest configured discrete level
185,sobol,0.8738799691,0.7727184268,0.2402101094,6,14,1,s1_m06_n14_cap1,54.189223,11.29589,59,1,round unit-hypercube coordinate to nearest configured discrete level
186,sobol,0.0576320328,0.7727184268,0.2402101094,3,14,1,s1_m03_n14_cap1,81.348517,114.843788,2,1,round unit-hypercube coordinate to nearest configured discrete level
187,sobol,0.8738799691,0.7674276847,0.2402101094,6,14,1,s1_m06_n14_cap1,54.189223,11.29589,59,1,round unit-hypercube coordinate to nearest configured discrete level
188,sobol,0.8738799691,0.7727184268,0.5161841856,6,14,2,s1_m06_n14_cap2,54.189223,11.29589,52,1,round unit-hypercube coordinate to nearest configured discrete level
189,sobol,0.8738799691,0.7674276847,0.5161841856,6,14,2,s1_m06_n14_cap2,54.189223,11.29589,52,1,round unit-hypercube coordinate to nearest configured discrete level
190,sobol,0.0576320328,0.7727184268,0.5161841856,3,14,2,s1_m03_n14_cap2,87.348517,117.706565,0,1,round unit-hypercube coordinate to nearest configured discrete level
191,sobol,0.0576320328,0.7674276847,0.2402101094,3,14,1,s1_m03_n14_cap1,81.348517,114.843788,2,1,round unit-hypercube coordinate to nearest configured discrete level
192,sobol,0.0576320328,0.7674276847,0.5161841856,3,14,2,s1_m03_n14_cap2,87.348517,117.706565,0,1,round unit-hypercube coordinate to nearest configured discrete level
193,sobol,0.7735142112,0.162686469,0.7367612571,5,12,2,s1_m05_n12_cap2,54.189223,11.29589,13,1,round unit-hypercube coordinate to nearest configured discrete level
194,sobol,0.3700297438,0.162686469,0.7367612571,4,12,2,s1_m04_n12_cap2,61.840111,59.780665,3,1,round unit-hypercube coordinate to nearest configured discrete level
195,sobol,0.7735142112,0.2847917667,0.7367612571,5,13,2,s1_m05_n13_cap2,57.193778,5.193778,9,1,round unit-hypercube coordinate to nearest configured discrete level
196,sobol,0.7735142112,0.162686469,0.6651943382,5,12,2,s1_m05_n12_cap2,54.189223,11.29589,13,1,round unit-hypercube coordinate to nearest configured discrete level
197,sobol,0.7735142112,0.2847917667,0.6651943382,5,13,2,s1_m05_n13_cap2,57.193778,5.193778,9,1,round unit-hypercube coordinate to nearest configured discrete level
198,sobol,0.3700297438,0.162686469,0.6651943382,4,12,2,s1_m04_n12_cap2,61.840111,59.780665,3,1,round unit-hypercube coordinate to nearest configured discrete level
199,sobol,0.3700297438,0.2847917667,0.7367612571,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
200,sobol,0.3700297438,0.2847917667,0.6651943382,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
201,sobol,0.15151018,0.6689977897,0.1537398156,3,14,1,s1_m03_n14_cap1,81.348517,114.843788,2,1,round unit-hypercube coordinate to nearest configured discrete level
202,sobol,0.9323916305,0.6689977897,0.1537398156,6,14,1,s1_m06_n14_cap1,54.189223,11.29589,59,1,round unit-hypercube coordinate to nearest configured discrete level
203,sobol,0.15151018,0.9076452777,0.1537398156,3,15,1,s1_m03_n15_cap1,89.370555,172.085503,0,1,round unit-hypercube coordinate to nearest configured discrete level
204,sobol,0.15151018,0.6689977897,0.0097372895,3,14,1,s1_m03_n14_cap1,81.348517,114.843788,2,1,round unit-hypercube coordinate to nearest configured discrete level
205,sobol,0.15151018,0.9076452777,0.0097372895,3,15,1,s1_m03_n15_cap1,89.370555,172.085503,0,1,round unit-hypercube coordinate to nearest configured discrete level
206,sobol,0.9323916305,0.6689977897,0.0097372895,6,14,1,s1_m06_n14_cap1,54.189223,11.29589,59,1,round unit-hypercube coordinate to nearest configured discrete level
207,sobol,0.9323916305,0.9076452777,0.1537398156,6,15,1,s1_m06_n15_cap1,59.189223,21.29589,40,1,round unit-hypercube coordinate to nearest configured discrete level
208,sobol,0.9323916305,0.9076452777,0.0097372895,6,15,1,s1_m06_n15_cap1,59.189223,21.29589,40,1,round unit-hypercube coordinate to nearest configured discrete level
209,sobol,0.3738058666,0.4978339141,0.8149750363,4,13,3,s1_m04_n13_cap3,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
210,sobol,0.0780609688,0.4978339141,0.8149750363,3,13,3,s1_m03_n13_cap3,87.619889,99.094111,0,1,round unit-hypercube coordinate to nearest configured discrete level
211,sobol,0.3738058666,0.7122578034,0.8149750363,4,14,3,s1_m04_n14_cap3,69.019,33.316555,6,1,round unit-hypercube coordinate to nearest configured discrete level
212,sobol,0.3738058666,0.4978339141,0.3724284703,4,13,2,s1_m04_n13_cap2,66.340111,43.319709,0,1,round unit-hypercube coordinate to nearest configured discrete level
